case,observable,bin_width_deg,n_bins,correlation,relative_rms,max_abs_difference
G1,density,2.0,30,0.9898594103969233,0.14193133730499763,0.04402893445148848
G1,phi2,2.0,30,0.9918074476621523,0.1033454116851181,0.010833040041658526
G1,distance,2.0,30,0.9956656267492883,0.0676288276016446,0.0024686767293129463
G1,pm1,2.0,30,0.9948561894913223,0.07739819548825091,0.005444188976222009
G1,pm2,2.0,30,0.9925511059096761,0.10174275341533084,0.0024274322796511427
G2,density,2.0,30,0.9927658869483068,0.11974395824379146,0.04693890937885004
G2,phi2,2.0,30,0.9923399595349561,0.10173019459906042,0.014457369567393297
G2,distance,2.0,30,0.9952885117938083,0.06857527508093768,0.004681695496099536
G2,pm1,2.0,30,0.996214772592798,0.06585910503012257,0.006580774041180959
G2,pm2,2.0,30,0.9909649704306726,0.11964202862843354,0.0025287677724330493
G3,density,2.0,30,0.9930018758890647,0.11789022712013224,0.04533038398156149
G3,phi2,2.0,30,0.9923925560742963,0.1012840447669458,0.014492419683086899
G3,distance,2.0,30,0.9950932808103105,0.06979961866812975,0.004879991622619428
G3,pm1,2.0,30,0.9961352072852667,0.06641694574190787,0.00687850796344236
G3,pm2,2.0,30,0.9913545789118227,0.1169143065177949,0.002504560630481656
G4,density,2.0,30,0.9867254189987594,0.16180312465523822,0.04824550987477197
G4,phi2,2.0,30,0.9897913769075869,0.1230744556558433,0.01132802279478562
G4,distance,2.0,30,0.9964101145100847,0.06112745766048846,0.003034722897464981
G4,pm1,2.0,30,0.99646116914993,0.06628455375267608,0.00645106931392192
G4,pm2,2.0,30,0.990598649201869,0.13134550652319243,0.00247014463338191
G5,density,2.0,30,0.9868368185292644,0.16109223826280838,0.047512841021222434
G5,phi2,2.0,30,0.9895039550041278,0.12420148753842208,0.01084885358727039
G5,distance,2.0,30,0.9966067924248316,0.05958334626522886,0.0028551195518078387
G5,pm1,2.0,30,0.9963445205369474,0.0673569482440875,0.0068095593664025955
G5,pm2,2.0,30,0.9908265045200703,0.13122785782202534,0.0025231295285932376
G1,rv,4.0,15,0.9868976042379098,0.17174899929394472,0.4000746273819189
G2,rv,4.0,15,0.9917291193187245,0.12933917268884584,0.36328941909476953
G3,rv,4.0,15,0.9919782209426729,0.12754216337902935,0.37396508158857955
G4,rv,4.0,15,0.9810712165690944,0.2057042584351471,0.35508028748231624
G5,rv,4.0,15,0.9807255962303731,0.20630368094370874,0.3698023290594321
