case,phi1_deg,response_rv_kms,sigma_rv_kms,z_rv,n_control,n_perturbed
G1,-58.0,0.2496424767261658,0.20913230557997436,1.1937059462613724,6233,6871
G1,-54.0,0.07069467560937426,0.19526691672672108,0.36204123460561677,9888,10385
G1,-50.0,-0.31099600178825426,0.19474030156364652,-1.5969781256942963,12010,12185
G1,-46.0,0.15720810258797613,0.15485615349051055,1.0151879602098584,13453,13646
G1,-42.0,0.22795554892624814,0.17448159300103855,1.3064733362727339,11745,11088
G1,-38.0,2.229955141534397,0.12428523462181745,17.942237051085254,16615,12967
G1,-34.0,-2.5567638542863733,0.2169267358898081,-11.786301231145286,10936,9403
G1,-30.0,2.327300921756006,0.09563593577996368,24.335004439237053,19090,22240
G1,-26.0,-0.33627142687939227,0.15650875317518917,-2.1485790414737025,12802,14239
G1,-22.0,-0.07342175385821292,0.11810258283503565,-0.6216777998900126,17611,17365
G1,-18.0,0.13630671950437545,0.11660022411541057,1.1690090695662767,16579,17149
G1,-14.0,-0.13383020211665553,0.12114303983756858,-1.1047287759668092,17208,17077
G1,-10.0,-0.057987091004036984,0.1254355906725152,-0.4622857890104616,13188,12561
G1,-6.0,-0.06433370784071712,0.16263573688829674,-0.39556931995151534,6153,5789
G1,-2.0,-0.12616378071314216,0.23388074381566248,-0.5394363753716318,2305,2138
G2,-58.0,0.23114450515984686,0.2122986928462486,1.0887702701365514,6233,7045
G2,-54.0,-0.02246198884681405,0.18777004022412225,-0.11962498820367419,9888,10535
G2,-50.0,-0.4097241977621735,0.186026051874968,-2.202509775553145,12010,12260
G2,-46.0,0.21802258356347082,0.1616365240707478,1.3488447912183699,13453,13744
G2,-42.0,0.11737604493652398,0.16683963602792254,0.703526138817995,11745,10750
G2,-38.0,2.6937398468985876,0.12816614353845981,21.0175618344189,16615,12192
G2,-34.0,-2.9336486248335234,0.2166284935281303,-13.542302663211636,10936,9222
G2,-30.0,2.71247672430826,0.111024981676171,24.431228750118603,19090,22809
G2,-26.0,-0.2610126955422345,0.15069795916866813,-1.732025416814683,12802,14333
G2,-22.0,-0.08846568008038957,0.1276681007815501,-0.6929348798864104,17611,16854
G2,-18.0,0.2616434348729797,0.1233442704521786,2.121245145103198,16579,17678
G2,-14.0,-0.14998261735351548,0.11359002882363041,-1.320385415047225,17208,17147
G2,-10.0,-0.07918552634168918,0.13388114510135618,-0.5914613762956756,13188,12476
G2,-6.0,-0.07844593506138153,0.16601460629233708,-0.47252429658656153,6153,5753
G2,-2.0,-0.2292503153181542,0.2476560413724075,-0.9256802864478639,2305,2105
G3,-58.0,0.24266519324363856,0.20975874317029622,1.1568776088948372,6233,7049
G3,-54.0,-0.019711077139959343,0.1739550547578625,-0.11331132152150603,9888,10536
G3,-50.0,-0.4220031285674324,0.18509367837316001,-2.279943498214178,12010,12265
G3,-46.0,0.21709960925148053,0.15995444998523323,1.3572589526050878,13453,13735
G3,-42.0,0.12543785754005565,0.17470661529833686,0.7179914585710011,11745,10758
G3,-38.0,2.7062700908525983,0.13067958272009603,20.70920364544771,16615,12161
G3,-34.0,-2.9339923077717884,0.2168533696977955,-13.52984420698912,10936,9221
G3,-30.0,2.713873701852293,0.1133384200191523,23.94486972196801,19090,22830
G3,-26.0,-0.26106773314967313,0.14908449883899488,-1.7511393550822176,12802,14340
G3,-22.0,-0.09602852927301342,0.12045019816653785,-0.7972467520579888,17611,16863
G3,-18.0,0.2609765509016029,0.12175617810080318,2.1434357990897,16579,17671
G3,-14.0,-0.1466938893198062,0.11391420838371855,-1.2877576151490226,17208,17145
