observable,case_a,case_b,correlation,rms_difference
phi2_deg,G1,G2,0.9919939874753381,0.007332495739329777
phi2_deg,G1,G3,0.991701290686329,0.007570322187911033
phi2_deg,G1,G4,0.9390763895161944,0.014428704348418893
phi2_deg,G1,G5,0.9408985068191054,0.014165869085424459
phi2_deg,G2,G3,0.9999739106789592,0.0003905999212189649
phi2_deg,G2,G4,0.9619722360750054,0.015446314545987971
phi2_deg,G2,G5,0.9636564857715619,0.015111036846966111
phi2_deg,G3,G4,0.9613125483263306,0.01569499552384308
phi2_deg,G3,G5,0.9630158496920858,0.015359069997696574
phi2_deg,G4,G5,0.9999632593076705,0.00039847780756352175
distance_kpc,G1,G2,0.986861019599155,0.004596886909696333
distance_kpc,G1,G3,0.9868467177417087,0.004664423801949792
distance_kpc,G1,G4,0.9218105983478865,0.0056050811841878625
distance_kpc,G1,G5,0.9238067661724823,0.005579609352475891
distance_kpc,G2,G3,0.9999912908131926,0.00010380268059195215
distance_kpc,G2,G4,0.9540804558371244,0.005265244709607109
distance_kpc,G2,G5,0.9552079359324738,0.005187856712395774
distance_kpc,G3,G4,0.9533551933082347,0.005339919769325996
distance_kpc,G3,G5,0.9544845075810152,0.005262594558711151
distance_kpc,G4,G5,0.9999720645285556,0.00014687426127250503
pm1_masyr,G1,G2,0.9858710596064298,0.009603097842491434
pm1_masyr,G1,G3,0.9857301524491056,0.009730942275887994
pm1_masyr,G1,G4,0.9534793446116615,0.010732732668537004
pm1_masyr,G1,G5,0.9543944268890476,0.010736504584153803
pm1_masyr,G2,G3,0.999986002849889,0.00021840696779627127
pm1_masyr,G2,G4,0.9672649586558087,0.008777647648918412
pm1_masyr,G2,G5,0.9682580834612625,0.008641404433859325
pm1_masyr,G3,G4,0.9663923593068251,0.008932619487208712
pm1_masyr,G3,G5,0.9673986318183992,0.008795632395574692
pm1_masyr,G4,G5,0.9999784316778444,0.0002401837745204893
pm2_masyr,G1,G2,0.9816498793718309,0.0015856398504393344
pm2_masyr,G1,G3,0.9814708853398819,0.001600883508230315
pm2_masyr,G1,G4,0.8910686681712101,0.004176970974525039
pm2_masyr,G1,G5,0.8936313243250076,0.004136441263802301
pm2_masyr,G2,G3,0.9999925433892968,6.193647099512289e-05
pm2_masyr,G2,G4,0.932932633188242,0.0037640152940327434
pm2_masyr,G2,G5,0.9357464235590954,0.0037043220341416777
pm2_masyr,G3,G4,0.9327510590883554,0.00380633098724998
pm2_masyr,G3,G5,0.9355724050451615,0.0037466380107189115
pm2_masyr,G4,G5,0.9999469858997704,8.329260679996785e-05
rv_kms,G1,G2,0.9883803911763683,0.132341327714468
rv_kms,G1,G3,0.9872996065391438,0.1358780074151003
rv_kms,G1,G4,0.969794908641435,0.14632988716538678
rv_kms,G1,G5,0.9719090657461709,0.14099501350176658
rv_kms,G2,G3,0.999905087210254,0.008228610072324295
rv_kms,G2,G4,0.9399788903131598,0.2649445624113896
rv_kms,G2,G5,0.9440815566729619,0.258605346173582
rv_kms,G3,G4,0.9371868456419058,0.26857582457286294
rv_kms,G3,G5,0.9414502419901958,0.2622090909587513
rv_kms,G4,G5,0.9996285816494721,0.010912060043607357
density_log,G1,G2,0.9953927550937341,0.029136361303645865
density_log,G1,G3,0.9954839544561386,0.02968906319231392
density_log,G1,G4,0.9471409557478792,0.04118991952318794
density_log,G1,G5,0.9489787739484761,0.040423312781670745
density_log,G2,G3,0.9999850593174671,0.0010668802001972694
density_log,G2,G4,0.9601776089849294,0.054751896167104144
density_log,G2,G5,0.9619095470244022,0.05377073259855339
density_log,G3,G4,0.9593501549370713,0.055557717161193884
density_log,G3,G5,0.9611130942469772,0.05457239708357653
density_log,G4,G5,0.9999588933896932,0.0012274798624559858
