case,phi1_deg,delta_ln_density,n_gmc,n_control,valid
G1,-89.0,nan,0,0,False
G1,-87.0,nan,0,0,False
G1,-85.0,nan,0,0,False
G1,-83.0,nan,1,1,False
G1,-81.0,nan,0,0,False
G1,-79.0,nan,0,0,False
G1,-77.0,nan,3,2,False
G1,-75.0,nan,28,25,False
G1,-73.0,nan,115,98,False
G1,-71.0,nan,277,243,False
G1,-69.0,nan,480,455,False
G1,-67.0,nan,708,649,False
G1,-65.0,nan,1043,987,False
G1,-63.0,nan,1442,1384,False
G1,-61.0,nan,1931,1872,False
G1,-59.0,0.05760462898679464,2769,2614,True
G1,-57.0,0.061355788221854723,3848,3619,True
G1,-55.0,0.01701710423361469,4682,4603,True
G1,-53.0,0.029825137062722717,5445,5285,True
G1,-51.0,0.0033517711955664,5977,5957,True
G1,-49.0,0.023349905645071445,6196,6053,True
G1,-47.0,0.018224768293059412,6700,6579,True
G1,-45.0,0.0170204599255932,6992,6874,True
G1,-43.0,-0.013447635413802672,6500,6588,True
G1,-41.0,-0.05931657715641947,4860,5157,True
G1,-39.0,-0.029664820279855064,6410,6603,True
G1,-37.0,-0.21786386579198158,8052,10012,True
G1,-35.0,-0.07921345146878878,5568,6027,True
G1,-33.0,0.06257591202250445,5226,4909,True
G1,-31.0,0.13864223752845817,10845,9441,True
G1,-29.0,-0.03748525237546119,9294,9649,True
G1,-27.0,0.03010260740791182,5463,5301,True
G1,-25.0,0.119130096381582,8450,7501,True
G1,-23.0,-0.034810880454443804,10699,11078,True
G1,-21.0,-0.2243688539640658,5220,6533,True
G1,-19.0,0.03766269953198176,7927,7634,True
G1,-17.0,0.05724536118096779,9472,8945,True
G1,-15.0,0.019733005912954127,8905,8731,True
G1,-13.0,0.009159293717887707,8555,8477,True
G1,-11.0,-0.004263830577034611,7489,7521,True
G1,-9.0,-0.0074389290969989474,5625,5667,True
G1,-7.0,-0.01329193582614252,3662,3711,True
G1,-5.0,-0.01651565203072103,2402,2442,True
G1,-3.0,-0.0040485885260004295,1479,1485,True
G1,-1.0,-0.017220597751670397,806,820,True
G1,1.0,nan,406,415,False
G1,3.0,nan,106,111,False
G1,5.0,nan,5,5,False
G1,7.0,nan,0,0,False
G1,9.0,nan,1,1,False
G1,11.0,nan,0,0,False
G2,-89.0,nan,0,0,False
G2,-87.0,nan,0,0,False
G2,-85.0,nan,0,0,False
G2,-83.0,nan,1,1,False
G2,-81.0,nan,0,0,False
G2,-79.0,nan,0,0,False
G2,-77.0,nan,3,2,False
G2,-75.0,nan,28,25,False
G2,-73.0,nan,116,98,False
G2,-71.0,nan,278,243,False
G2,-69.0,nan,480,455,False
G2,-67.0,nan,711,649,False
G2,-65.0,nan,1047,987,False
G2,-63.0,nan,1445,1384,False
G2,-61.0,nan,1952,1872,False
G2,-59.0,0.06300712727014357,2784,2614,True
G2,-57.0,0.06912181223885483,3878,3619,True
G2,-55.0,0.023404181514180777,4712,4603,True
G2,-53.0,0.03787347024555032,5489,5285,True
G2,-51.0,0.007692345623155461,6003,5957,True
G2,-49.0,0.03218743404012514,6251,6053,True
G2,-47.0,0.025807883955872413,6751,6579,True
G2,-45.0,0.013582061122560773,6968,6874,True
G2,-43.0,-0.027390541382814604,6410,6588,True
G2,-41.0,-0.08537328843078029,4735,5157,True
G2,-39.0,-0.02081176874797741,6467,6603,True
G2,-37.0,-0.20087047570454963,8190,10012,True
G2,-35.0,-0.12703425803094603,5308,6027,True
G2,-33.0,0.04539899640921519,5137,4909,True
G2,-31.0,0.14846018123576776,10952,9441,True
G2,-29.0,-0.039747331220159055,9273,9649,True
G2,-27.0,0.02680227437925531,5445,5301,True
G2,-25.0,0.11093089412926993,8381,7501,True
G2,-23.0,-0.04599573318076011,10580,11078,True
G2,-21.0,-0.2419555474514823,5129,6533,True
G2,-19.0,-0.039954542728091624,7335,7634,True
G2,-17.0,0.059143895661154744,9490,8945,True
G2,-15.0,0.0600113377961744,9271,8731,True
G2,-13.0,0.02757431406898192,8714,8477,True
G2,-11.0,0.017137250405449223,7651,7521,True
G2,-9.0,0.006683106126557092,5705,5667,True
G2,-7.0,0.0032284128121187194,3723,3711,True
G2,-5.0,0.0004094165870904831,2443,2442,True
G2,-3.0,-0.0040485885260004295,1479,1485,True
G2,-1.0,0.0,820,820,True
G2,1.0,nan,415,415,False
G2,3.0,nan,108,111,False
G2,5.0,nan,5,5,False
G2,7.0,nan,0,0,False
G2,9.0,nan,1,1,False
G2,11.0,nan,0,0,False
G3,-89.0,nan,0,0,False
G3,-87.0,nan,0,0,False
G3,-85.0,nan,0,0,False
G3,-83.0,nan,1,1,False
G3,-81.0,nan,0,0,False
G3,-79.0,nan,0,0,False
G3,-77.0,nan,3,2,False
G3,-75.0,nan,28,25,False
G3,-73.0,nan,116,98,False
G3,-71.0,nan,278,243,False
G3,-69.0,nan,480,455,False
G3,-67.0,nan,711,649,False
G3,-65.0,nan,1047,987,False
G3,-63.0,nan,1445,1384,False
G3,-61.0,nan,1952,1872,False
G3,-59.0,0.06300712727014357,2784,2614,True
G3,-57.0,0.07015274016521467,3882,3619,True
G3,-55.0,0.02319193488279936,4711,4603,True
G3,-53.0,0.03732677319321098,5486,5285,True
G3,-51.0,0.008358457221474325,6007,5957,True
G3,-49.0,0.032507331675610374,6253,6053,True
G3,-47.0,0.026400213308301446,6755,6579,True
G3,-45.0,0.013582061122560773,6968,6874,True
G3,-43.0,-0.02505318153411018,6425,6588,True
G3,-41.0,-0.08452887208337145,4739,5157,True
G3,-39.0,-0.019729935708381774,6474,6603,True
G3,-37.0,-0.21513535113877857,8074,10012,True
G3,-35.0,-0.12873125099028293,5299,6027,True
G3,-33.0,0.04714945878363608,5146,4909,True
G3,-31.0,0.15537558641117144,11028,9441,True
G3,-29.0,-0.0399630344134021,9271,9649,True
G3,-27.0,0.028637137279366343,5455,5301,True
G3,-25.0,0.11259994554200503,8395,7501,True
G3,-23.0,-0.04590121968888816,10581,11078,True
G3,-21.0,-0.2417605966759364,5130,6533,True
G3,-19.0,-0.03492291451546059,7372,7634,True
G3,-17.0,0.0579841085102224,9479,8945,True
G3,-15.0,0.05568747417934361,9231,8731,True
G3,-13.0,0.02700036008433493,8709,8477,True
G3,-11.0,0.017006539994179448,7650,7521,True
G3,-9.0,0.0068583756038265165,5706,5667,True
G3,-7.0,0.0026910672860243068,3721,3711,True
G3,-5.0,0.0008186656208355458,2444,2442,True
G3,-3.0,-0.0040485885260004295,1479,1485,True
G3,-1.0,0.0,820,820,True
G3,1.0,nan,415,415,False
G3,3.0,nan,108,111,False
G3,5.0,nan,5,5,False
G3,7.0,nan,0,0,False
G3,9.0,nan,1,1,False
G3,11.0,nan,0,0,False
G4,-89.0,nan,0,0,False
G4,-87.0,nan,0,0,False
G4,-85.0,nan,0,0,False
G4,-83.0,nan,1,1,False
G4,-81.0,nan,0,0,False
G4,-79.0,nan,0,0,False
G4,-77.0,nan,3,2,False
G4,-75.0,nan,28,25,False
G4,-73.0,nan,116,98,False
G4,-71.0,nan,278,243,False
G4,-69.0,nan,480,455,False
G4,-67.0,nan,711,649,False
G4,-65.0,nan,1047,987,False
G4,-63.0,nan,1445,1384,False
G4,-61.0,nan,1952,1872,False
G4,-59.0,0.06300712727014357,2784,2614,True
G4,-57.0,0.07143990728848237,3887,3619,True
G4,-55.0,0.02319193488279936,4711,4603,True
G4,-53.0,0.037691271101383705,5488,5285,True
G4,-51.0,0.008358457221474325,6007,5957,True
G4,-49.0,0.03410528663372503,6263,6053,True
G4,-47.0,0.025807883955872413,6751,6579,True
G4,-45.0,0.014586149279788074,6975,6874,True
G4,-43.0,-0.022721272199131448,6440,6588,True
G4,-41.0,-0.07884763639227188,4766,5157,True
G4,-39.0,-0.02220441887635083,6458,6603,True
G4,-37.0,-0.24212500168548878,7859,10012,True
G4,-35.0,-0.13725968323755922,5254,6027,True
G4,-33.0,0.050447550821596465,5163,4909,True
G4,-31.0,0.1731706097696275,11226,9441,True
G4,-29.0,-0.040934274979687046,9262,9649,True
G4,-27.0,0.03010260740791182,5463,5301,True
G4,-25.0,0.119130096381582,8450,7501,True
G4,-23.0,-0.04703597158370343,10569,11078,True
G4,-21.0,-0.2425406279167337,5126,6533,True
G4,-19.0,-0.026144412601874834,7437,7634,True
G4,-17.0,0.05354341607851332,9437,8945,True
G4,-15.0,0.049602483111963025,9175,8731,True
G4,-13.0,0.02654095959388414,8705,8477,True
G4,-11.0,0.01687581249546355,7649,7521,True
G4,-9.0,0.006683106126557092,5705,5667,True
G4,-7.0,0.0026910672860243068,3721,3711,True
G4,-5.0,0.0008186656208355458,2444,2442,True
G4,-3.0,-0.0040485885260004295,1479,1485,True
G4,-1.0,0.0,820,820,True
G4,1.0,nan,414,415,False
G4,3.0,nan,109,111,False
G4,5.0,nan,5,5,False
G4,7.0,nan,0,0,False
G4,9.0,nan,1,1,False
G4,11.0,nan,0,0,False
G5,-89.0,nan,0,0,False
G5,-87.0,nan,0,0,False
G5,-85.0,nan,0,0,False
G5,-83.0,nan,1,1,False
G5,-81.0,nan,0,0,False
G5,-79.0,nan,0,0,False
G5,-77.0,nan,3,2,False
G5,-75.0,nan,29,25,False
G5,-73.0,nan,125,98,False
G5,-71.0,nan,278,243,False
G5,-69.0,nan,489,455,False
G5,-67.0,nan,720,649,False
G5,-65.0,nan,1066,987,False
G5,-63.0,nan,1476,1384,False
G5,-61.0,nan,1985,1872,False
G5,-59.0,0.08292243697108503,2840,2614,True
G5,-57.0,0.08116860665276704,3925,3619,True
G5,-55.0,0.03815060420102867,4782,4603,True
G5,-53.0,0.04856488313038376,5548,5285,True
G5,-51.0,0.012014160860719159,6029,5957,True
G5,-49.0,0.03218743404012514,6251,6053,True
G5,-47.0,0.026844230188238782,6758,6579,True
G5,-45.0,-0.004812258648779988,6841,6874,True
G5,-43.0,-0.05764069019364193,6219,6588,True
G5,-41.0,-0.13872505526902756,4489,5157,True
G5,-39.0,-0.029508826207313987,6411,6603,True
G5,-37.0,-0.09441166229766118,9110,10012,True
G5,-35.0,-0.11393281665423416,5378,6027,True
G5,-33.0,0.02355418404548537,5026,4909,True
G5,-31.0,0.08727614439301412,10302,9441,True
G5,-29.0,-0.03308350604456045,9335,9649,True
G5,-27.0,0.014049121215180094,5376,5301,True
G5,-25.0,0.08101646249753358,8134,7501,True
G5,-23.0,-0.028846833328751487,10763,11078,True
G5,-21.0,-0.17576115489868904,5480,6533,True
G5,-19.0,-0.11319246194238985,6817,7634,True
G5,-17.0,0.0051293600419537455,8991,8945,True
G5,-15.0,0.06065830784246451,9277,8731,True
G5,-13.0,0.04486712269659421,8866,8477,True
G5,-11.0,0.04434191915540353,7862,7521,True
G5,-9.0,0.037406958694836234,5883,5667,True
G5,-7.0,0.025802734850657316,3808,3711,True
G5,-5.0,0.030250340464665904,2517,2442,True
G5,-3.0,0.01271345327298512,1504,1485,True
G5,-1.0,0.006079046076382433,825,820,True
G5,1.0,nan,420,415,False
G5,3.0,nan,118,111,False
G5,5.0,nan,6,5,False
G5,7.0,nan,0,0,False
G5,9.0,nan,1,1,False
G5,11.0,nan,0,0,False
