phi1_deg,response_phi2_deg,response_distance_kpc,response_pm1_masyr,response_pm2_masyr
-89.0,nan,nan,nan,nan
-87.0,nan,nan,nan,nan
-85.0,nan,nan,nan,nan
-83.0,-0.06124170044645272,0.012507340142290602,0.10656191660560843,0.010204200551887865
-81.0,nan,nan,nan,nan
-79.0,nan,nan,nan,nan
-77.0,0.02339221586291762,-0.011338573515002004,-0.027806005891351404,-0.008398048119812263
-75.0,0.0047642439652682,-0.022512337071593613,-0.046679261651158654,-0.0023454347077107585
-73.0,-0.04061958391070597,-0.028590267021106897,-0.05617768684903979,-0.006550616454880753
-71.0,-0.002810147648458994,-0.027226621716945232,-0.06581097956542514,-0.006249366722116623
-69.0,-0.03146968536240924,-0.027287470552948,-0.05391128339710072,-0.005940000299139658
-67.0,-0.030677351486814053,-0.026673642460393943,-0.05942171643465244,-0.0037795777377036543
-65.0,-0.016325573167590868,-0.025951882172857488,-0.055514755585118536,-0.006870885517931136
-63.0,-0.03359784458853132,-0.026562330420730973,-0.05778938678608725,-0.0054589080859677175
-61.0,-0.03172801940046133,-0.0275256374107391,-0.06216984323101293,-0.006009764272359774
-59.0,-0.03525404178072222,-0.026498091880523766,-0.06293295136751453,-0.005830820756939303
-57.0,-0.029096532332893332,-0.029363556216931208,-0.06541282240947055,-0.007271130326260256
-55.0,-0.04058796222070188,-0.0276814262437437,-0.06677366828199993,-0.007199216181256851
-53.0,-0.03134532582788502,-0.025058833015919824,-0.05682011157524869,-0.006794800614123631
-51.0,-0.03679170243356805,-0.02411685423557941,-0.05343751695315291,-0.007188818353027759
-49.0,-0.04304233769592786,-0.02722465798618856,-0.05978972312217934,-0.008704851451957651
-47.0,-0.06436370214170145,-0.030517132939886338,-0.0687529306757586,-0.009230918504586239
-45.0,-0.06873198391085486,-0.026707767364975155,-0.060185327640775554,-0.008960605349866313
-43.0,-0.07092210717351724,-0.028824476996357262,-0.06447713715514602,-0.010722645488841387
-41.0,-0.08991373109548809,-0.03511674927847164,-0.0772688919971074,-0.015548490560655992
-39.0,-0.034895053367618056,-0.013272195954071364,-0.025411479979103646,-0.010036647383647068
-37.0,-0.01952813077551499,-0.014675049709879318,-0.03244885929992947,-0.008686997535124696
-35.0,0.009829391855520037,0.005176335471562155,0.014399202449643766,0.006073972435400421
-33.0,0.03519417485858228,0.012373672510509692,0.029678471960650654,0.005854865303765777
-31.0,0.118902911925532,0.0359329483801929,0.06696962978535836,0.024093482481829742
-29.0,-0.0038816521291907824,-5.752723344798483e-06,0.00308534142823369,7.563898394158386e-05
-27.0,-0.03067448461687272,-0.010975452834464328,-0.015813410054562382,-0.0053638610331971925
-25.0,-0.03866578359007461,-0.014788895390292822,-0.02669958494877811,-0.006876195545589159
-23.0,-0.0014663055755719245,-0.00537685726716397,-0.010445997566577603,-0.0020214530596467384
-21.0,0.005082417179473442,0.004517245339082265,0.011329915215101849,0.004662263036738334
-19.0,0.005681527065784717,-0.0011229485252872706,-0.0013598785197341812,0.005312553066638248
-17.0,-0.009082149289365071,-0.007838698296868785,-0.010053956133814879,0.003147544233750743
-15.0,-0.01998263711404555,-0.010744023965127525,-0.014844027051040598,0.0002093380476737572
-13.0,-0.02429086504156619,-0.013811676777093496,-0.018267876499114877,-0.0009426651667499009
-11.0,-0.03082471524492436,-0.015492615773169405,-0.019628403993355192,-0.0015814759719918747
-9.0,-0.04012998678551161,-0.017584685110918485,-0.020143864788009225,-0.002878934886551665
-7.0,-0.04250906636801577,-0.01927408094239169,-0.02131329989094155,-0.003960883269451987
-5.0,-0.04179657109854995,-0.021025290464548263,-0.022535521268917336,-0.004349774040888654
-3.0,-0.04564559713067373,-0.020040674163283256,-0.0191343723827071,-0.004314135764029725
-1.0,-0.04572204684899228,-0.017271087878466318,-0.014468568016720695,-0.0048478687491666506
1.0,-0.03742014434424168,-0.01885786977648607,-0.012582473325068122,-0.005155912976295252
3.0,-0.052162963192961875,-0.03346975101929495,-0.026960806796989978,-0.00605473239912202
5.0,-0.0410219240916998,-0.0370386583888056,-0.035451289860179536,-0.008158453599454552
7.0,nan,nan,nan,nan
9.0,-0.03269175517441347,-0.03826746125959701,-0.03305192063816964,-0.007475963873152525
11.0,nan,nan,nan,nan
