observable,bin_width_deg,case_i,case_j,correlation
phi2_deg,2.0,G1,G1,1.0
phi2_deg,2.0,G1,G2,0.8530900105656544
phi2_deg,2.0,G1,G3,0.8526013698428778
phi2_deg,2.0,G1,G4,0.8493348021338574
phi2_deg,2.0,G1,G5,0.519038058763252
phi2_deg,2.0,G2,G1,0.8530900105656543
phi2_deg,2.0,G2,G2,1.0
phi2_deg,2.0,G2,G3,0.9992681041772511
phi2_deg,2.0,G2,G4,0.9940886985684911
phi2_deg,2.0,G2,G5,0.8484357467918402
phi2_deg,2.0,G3,G1,0.8526013698428778
phi2_deg,2.0,G3,G2,0.9992681041772511
phi2_deg,2.0,G3,G3,0.9999999999999999
phi2_deg,2.0,G3,G4,0.9974001594122293
phi2_deg,2.0,G3,G5,0.8432227592345406
phi2_deg,2.0,G4,G1,0.8493348021338574
phi2_deg,2.0,G4,G2,0.9940886985684911
phi2_deg,2.0,G4,G3,0.9974001594122293
phi2_deg,2.0,G4,G4,1.0
phi2_deg,2.0,G4,G5,0.8309340617982656
phi2_deg,2.0,G5,G1,0.519038058763252
phi2_deg,2.0,G5,G2,0.8484357467918402
phi2_deg,2.0,G5,G3,0.8432227592345406
phi2_deg,2.0,G5,G4,0.8309340617982656
phi2_deg,2.0,G5,G5,0.9999999999999999
distance_kpc,2.0,G1,G1,0.9999999999999999
distance_kpc,2.0,G1,G2,0.9404166779813741
distance_kpc,2.0,G1,G3,0.9466761080846698
distance_kpc,2.0,G1,G4,0.957033962535875
distance_kpc,2.0,G1,G5,0.7414587513130041
distance_kpc,2.0,G2,G1,0.940416677981374
distance_kpc,2.0,G2,G2,1.0
distance_kpc,2.0,G2,G3,0.9995115206151808
distance_kpc,2.0,G2,G4,0.9958307403140324
distance_kpc,2.0,G2,G5,0.9056779663097831
distance_kpc,2.0,G3,G1,0.9466761080846697
distance_kpc,2.0,G3,G2,0.9995115206151809
distance_kpc,2.0,G3,G3,0.9999999999999998
distance_kpc,2.0,G3,G4,0.9980559059453795
distance_kpc,2.0,G3,G5,0.8975269459916507
distance_kpc,2.0,G4,G1,0.9570339625358749
distance_kpc,2.0,G4,G2,0.9958307403140325
distance_kpc,2.0,G4,G3,0.9980559059453795
distance_kpc,2.0,G4,G4,1.0
distance_kpc,2.0,G4,G5,0.8795969223162148
distance_kpc,2.0,G5,G1,0.7414587513130041
distance_kpc,2.0,G5,G2,0.9056779663097831
distance_kpc,2.0,G5,G3,0.8975269459916508
distance_kpc,2.0,G5,G4,0.8795969223162148
distance_kpc,2.0,G5,G5,1.0
pm1_masyr,2.0,G1,G1,1.0
pm1_masyr,2.0,G1,G2,0.9776895237076848
pm1_masyr,2.0,G1,G3,0.9806338949259039
pm1_masyr,2.0,G1,G4,0.9856081075266034
pm1_masyr,2.0,G1,G5,0.8706060486694298
pm1_masyr,2.0,G2,G1,0.9776895237076848
pm1_masyr,2.0,G2,G2,1.0
pm1_masyr,2.0,G2,G3,0.9997269822078574
pm1_masyr,2.0,G2,G4,0.9976397020592808
pm1_masyr,2.0,G2,G5,0.9406686382052538
pm1_masyr,2.0,G3,G1,0.9806338949259039
pm1_masyr,2.0,G3,G2,0.9997269822078574
pm1_masyr,2.0,G3,G3,1.0
pm1_masyr,2.0,G3,G4,0.9988963745615139
pm1_masyr,2.0,G3,G5,0.9352341574103773
pm1_masyr,2.0,G4,G1,0.9856081075266035
pm1_masyr,2.0,G4,G2,0.9976397020592808
pm1_masyr,2.0,G4,G3,0.9988963745615139
pm1_masyr,2.0,G4,G4,1.0
pm1_masyr,2.0,G4,G5,0.9215334700890401
pm1_masyr,2.0,G5,G1,0.8706060486694298
pm1_masyr,2.0,G5,G2,0.9406686382052538
pm1_masyr,2.0,G5,G3,0.9352341574103772
pm1_masyr,2.0,G5,G4,0.9215334700890401
pm1_masyr,2.0,G5,G5,1.0
pm2_masyr,2.0,G1,G1,1.0
pm2_masyr,2.0,G1,G2,0.9570091384131142
pm2_masyr,2.0,G1,G3,0.9603942383253903
pm2_masyr,2.0,G1,G4,0.962553702212645
pm2_masyr,2.0,G1,G5,0.7707751513969758
pm2_masyr,2.0,G2,G1,0.9570091384131142
pm2_masyr,2.0,G2,G2,1.0
pm2_masyr,2.0,G2,G3,0.9994573722807945
pm2_masyr,2.0,G2,G4,0.9968856039159124
pm2_masyr,2.0,G2,G5,0.9074516470584899
pm2_masyr,2.0,G3,G1,0.9603942383253903
pm2_masyr,2.0,G3,G2,0.9994573722807946
pm2_masyr,2.0,G3,G3,1.0
pm2_masyr,2.0,G3,G4,0.9988873223729733
pm2_masyr,2.0,G3,G5,0.8975650187095814
pm2_masyr,2.0,G4,G1,0.962553702212645
pm2_masyr,2.0,G4,G2,0.9968856039159124
pm2_masyr,2.0,G4,G3,0.9988873223729733
pm2_masyr,2.0,G4,G4,0.9999999999999999
pm2_masyr,2.0,G4,G5,0.8835607221528159
pm2_masyr,2.0,G5,G1,0.7707751513969758
pm2_masyr,2.0,G5,G2,0.9074516470584899
pm2_masyr,2.0,G5,G3,0.8975650187095814
pm2_masyr,2.0,G5,G4,0.8835607221528159
pm2_masyr,2.0,G5,G5,0.9999999999999999
rv_kms,4.0,G1,G1,1.0
rv_kms,4.0,G1,G2,0.9575558421843815
rv_kms,4.0,G1,G3,0.9608948683429979
rv_kms,4.0,G1,G4,0.9578739341769233
rv_kms,4.0,G1,G5,0.7006698989125616
rv_kms,4.0,G2,G1,0.9575558421843815
rv_kms,4.0,G2,G2,0.9999999999999999
rv_kms,4.0,G2,G3,0.998937924200798
rv_kms,4.0,G2,G4,0.9946968100672663
rv_kms,4.0,G2,G5,0.8599498660743975
rv_kms,4.0,G3,G1,0.9608948683429979
rv_kms,4.0,G3,G2,0.998937924200798
rv_kms,4.0,G3,G3,1.0
rv_kms,4.0,G3,G4,0.9978735735241625
rv_kms,4.0,G3,G5,0.8453467025998168
rv_kms,4.0,G4,G1,0.9578739341769232
rv_kms,4.0,G4,G2,0.9946968100672663
rv_kms,4.0,G4,G3,0.9978735735241626
rv_kms,4.0,G4,G4,1.0
rv_kms,4.0,G4,G5,0.8256295833229389
rv_kms,4.0,G5,G1,0.7006698989125616
rv_kms,4.0,G5,G2,0.8599498660743975
rv_kms,4.0,G5,G3,0.8453467025998169
rv_kms,4.0,G5,G4,0.8256295833229388
rv_kms,4.0,G5,G5,1.0
