case,phi1_deg,response_rv_kms,valid
G1,-88.0,nan,False
G1,-84.0,nan,False
G1,-80.0,nan,False
G1,-76.0,nan,False
G1,-72.0,nan,False
G1,-68.0,nan,False
G1,-64.0,nan,False
G1,-60.0,-0.04351006764974841,True
G1,-56.0,0.032242730214363746,True
G1,-52.0,0.057016528310903425,True
G1,-48.0,0.00568852819862542,True
G1,-44.0,0.12999306621742068,True
G1,-40.0,-0.1982540086067175,True
G1,-36.0,-0.13080458627123903,True
G1,-32.0,-0.9858010611931007,True
G1,-28.0,-0.49135351955179374,True
G1,-24.0,0.845039212633111,True
G1,-20.0,-1.4011829022697952,True
G1,-16.0,0.15684341496441334,True
G1,-12.0,-0.03372453462523595,True
G1,-8.0,-0.036832810415035055,True
G1,-4.0,-0.08670157711659954,True
G1,0.0,-0.03483722535000311,True
G1,4.0,nan,False
G1,8.0,nan,False
G1,12.0,nan,False
G2,-88.0,nan,False
G2,-84.0,nan,False
G2,-80.0,nan,False
G2,-76.0,nan,False
G2,-72.0,nan,False
G2,-68.0,nan,False
G2,-64.0,nan,False
G2,-60.0,0.0013648122898501924,True
G2,-56.0,0.06142246848187938,True
G2,-52.0,0.08922005391345778,True
G2,-48.0,0.004230285319934524,True
G2,-44.0,0.2593130506853596,True
G2,-40.0,-0.44916100444016394,True
G2,-36.0,0.12437760456285929,True
G2,-32.0,-1.1783914133165752,True
G2,-28.0,-0.4981039495584696,True
G2,-24.0,0.8472985707943081,True
G2,-20.0,-1.0634787269432309,True
G2,-16.0,0.04577486682939025,True
G2,-12.0,0.04361127121796926,True
G2,-8.0,-0.04144286339902692,True
G2,-4.0,-0.055092762177537224,True
G2,0.0,-0.010666529490549692,True
G2,4.0,nan,False
G2,8.0,nan,False
G2,12.0,nan,False
G3,-88.0,nan,False
G3,-84.0,nan,False
G3,-80.0,nan,False
G3,-76.0,nan,False
G3,-72.0,nan,False
G3,-68.0,nan,False
G3,-64.0,nan,False
G3,-60.0,0.0027995213020801657,True
G3,-56.0,0.06116092298974252,True
G3,-52.0,0.07789951762329395,True
G3,-48.0,0.005240349954547696,True
G3,-44.0,0.2591972479713842,True
G3,-40.0,-0.4327973524229378,True
G3,-36.0,0.0510441612883028,True
G3,-32.0,-1.2428741208923242,True
G3,-28.0,-0.5111392629500529,True
G3,-24.0,0.8583588738678003,True
G3,-20.0,-1.0799022360633046,True
G3,-16.0,0.05792617523988497,True
G3,-12.0,0.04281174888143369,True
G3,-8.0,-0.040968539715095176,True
G3,-4.0,-0.048647699406785705,True
G3,0.0,-0.011031235687568142,True
G3,4.0,nan,False
G3,8.0,nan,False
G3,12.0,nan,False
G4,-88.0,nan,False
G4,-84.0,nan,False
G4,-80.0,nan,False
G4,-76.0,nan,False
G4,-72.0,nan,False
G4,-68.0,nan,False
G4,-64.0,nan,False
G4,-60.0,0.0060377091835164265,True
G4,-56.0,0.06209802274076992,True
G4,-52.0,0.07999699925345283,True
G4,-48.0,0.009721583064688843,True
G4,-44.0,0.27263274533515514,True
G4,-40.0,-0.3666694333611602,True
G4,-36.0,0.016712801156060664,True
G4,-32.0,-1.391685463919245,True
G4,-28.0,-0.5342929776497698,True
G4,-24.0,0.8823101000856184,True
G4,-20.0,-1.1107095974589924,True
G4,-16.0,0.042224051765430204,True
G4,-12.0,0.04255421931850378,True
G4,-8.0,-0.041120027820340965,True
G4,-4.0,-0.04880396000302767,True
G4,0.0,-0.0015958370945554634,True
G4,4.0,nan,False
G4,8.0,nan,False
G4,12.0,nan,False
G5,-88.0,nan,False
G5,-84.0,nan,False
G5,-80.0,nan,False
G5,-76.0,nan,False
G5,-72.0,nan,False
G5,-68.0,nan,False
G5,-64.0,nan,False
G5,-60.0,0.08494844567238147,True
G5,-56.0,0.08473297170127125,True
G5,-52.0,0.15859177192466234,True
G5,-48.0,0.06389274760674368,True
G5,-44.0,0.3475905545071214,True
G5,-40.0,-0.7443869573423392,True
G5,-36.0,0.3758320603259051,True
G5,-32.0,-0.6823312266857187,True
G5,-28.0,-0.3700888157081579,True
G5,-24.0,0.5944060522201937,True
G5,-20.0,-0.34498413253413673,True
G5,-16.0,-0.16265671167943196,True
G5,-12.0,0.06868762180826593,True
G5,-8.0,0.048639113198476025,True
G5,-4.0,-0.08933007983722518,True
G5,0.0,-0.070193840779325,True
G5,4.0,nan,False
G5,8.0,nan,False
G5,12.0,nan,False
