phi1,N,phi2_med,phi2_med_err,phi2_width,pm1_med,pm1_med_err,pm1_width,pm2_med,pm2_med_err,pm2_width,N_rv,rv_med,rv_med_err,rv_width
-59.0,36,-0.691891910243845,0.05377775019936265,0.21186548000411257,-12.759149830090962,0.046892721954989725,0.2660612839733761,-3.675428281617101,0.049840355153973226,0.3203963581095255,2,,,
-57.0,35,-0.32992489807940734,0.11204520577999297,0.3253455324254329,-13.031628756370612,0.058994859145621525,0.26171618815933995,-3.4097208360551066,0.031335704796969344,0.5423758196017339,11,96.92088582234258,7.169623572882813,22.577903780459746
-55.0,42,-0.2990664748276717,0.049387771042000025,0.24207425613450897,-13.054087581014754,0.05756479996643904,0.2732574691031403,-3.5657649954636303,0.04314191128247491,0.29990237470244635,3,,,
-53.0,59,-0.21837910290495172,0.053436831684046046,0.28409122483215327,-13.196227186553457,0.042211049045191906,0.32091218987766706,-3.6195381276395415,0.04495246308578582,0.575524689855427,1,,,
-51.0,78,-0.12547054912141836,0.04727518719056012,0.32274298254052175,-13.353065907771551,0.04206561098373207,0.2808956784565213,-3.4507930745042064,0.04572284879303545,0.45605703936933684,5,52.555439381804995,6.0099693847718,8.814774618513221
-49.0,69,0.06915251767399307,0.041087710614087954,0.3102449327991649,-13.486903320985125,0.03766510435852233,0.23203371489092428,-3.5234252039079768,0.03464990145210467,0.34913548944978884,15,41.284592027066,3.757959918483884,14.52619920354918
-47.0,66,0.029330899797979156,0.025004691427367057,0.2519259830662958,-13.36468893161497,0.04033592424383503,0.2608917055435008,-3.5208830074570683,0.07193542760691884,0.44831394109153944,20,24.765855086841917,1.4598769777561298,5.8828818129523155
-45.0,54,0.08723979441296376,0.039571229089053056,0.3144398070199838,-13.395666898392236,0.04143292297203338,0.3406705232518373,-3.3992665804978786,0.06702118032377191,0.32413611825720273,12,18.406721770640644,3.2927679256431883,9.338929928556201
-43.0,46,0.13823292630324602,0.06938322834675692,0.39257741444918437,-13.409546153537443,0.03168662457987903,0.20769008138759348,-3.432628867132462,0.03783937947067395,0.18887861538032535,5,9.55975067771856,3.4467438688717995,3.461360631367493
-41.0,39,0.18053234161709011,0.08091010530100058,0.38312459538649307,-13.284069697431942,0.05376297429837695,0.2632841830296185,-3.437374261862141,0.06768397636688217,0.3084066794916342,6,-15.724763592377585,2.214707972716605,5.38325427278547
-39.0,43,0.18828494399037826,0.05312094923281481,0.36373044628510576,-13.200759456517513,0.0476365980256066,0.19777250745835143,-3.2873211664258184,0.025760844820730266,0.2036023620811061,7,-20.338177391896583,1.7049718405419743,3.980670613837462
-37.0,40,0.19567703401286124,0.07280968518329745,0.3172347466556455,-13.210851876581296,0.07765140065802711,0.3120127755950991,-3.2222576872257265,0.06826514829482289,0.3086462505508386,15,-34.285399499170175,3.0906333373540242,7.4998020377195305
-35.0,46,0.12887926803348632,0.06406894080185964,0.27787522990373337,-13.11063825970314,0.050675854445969115,0.2227544417434645,-3.2168744370899125,0.043133002856853064,0.3281276244742802,9,-57.51714037893687,1.2789050343160397,3.0396271966859225
